timestamp,temperature,pressure,vibration,rpm
2025-01-01T08:00:00Z,72.1,101.2,2.1,3000
2025-01-01T08:01:00Z,73.0,100.8,2.2,3010
2025-01-01T08:02:00Z,74.5,100.1,2.3,3020
2025-01-01T08:03:00Z,76.2,99.5,2.5,3015
2025-01-01T08:04:00Z,78.0,98.9,2.8,3005
2025-01-01T08:05:00Z,81.3,97.2,3.2,2990
2025-01-01T08:06:00Z,85.7,95.1,4.1,2980
2025-01-01T08:07:00Z,91.2,92.0,5.2,2970
2025-01-01T08:08:00Z,98.5,88.5,6.8,2960
2025-01-01T08:09:00Z,105.0,84.0,8.5,2950
2025-01-01T08:10:00Z,110.2,80.2,9.9,2940
2025-01-01T08:11:00Z,108.0,82.0,8.2,2955
2025-01-01T08:12:00Z,102.5,86.5,6.1,2975
2025-01-01T08:13:00Z,95.0,90.0,4.5,2990
2025-01-01T08:14:00Z,88.0,94.5,3.2,3005
2025-01-01T08:15:00Z,82.5,98.0,2.6,3015
2025-01-01T08:16:00Z,78.0,100.5,2.2,3020
2025-01-01T08:17:00Z,75.0,101.0,2.0,3025
2025-01-01T08:18:00Z,73.5,101.3,1.9,3030
2025-01-01T08:19:00Z,72.8,101.5,1.8,3030
